SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13,Prop14
103,0.25,0.25,1,0.9827586,0.9137931,0.8275862,0.7931034,0.5689655,0.5,0.4482759,0.3965517,0.3103448,0.2586207,0.2241379,0.1206897,0.05172414,0
104,0.25,0.25,1,0.9655172,0.9137931,0.8793103,0.8103448,0.7586207,0.6724138,0.5862069,0.3275862,0.2758621,0.2068966,0.1206897,0.0862069,0.05172414,0
105,0.25,0.25,1,0.9655172,0.9310345,0.8448276,0.8103448,0.7413793,0.6206897,0.6034483,0.5689655,0.3275862,0.2758621,0.1724138,0.1034483,0.05172414,0
106,0.25,0.25,1,0.9310345,0.862069,0.8275862,0.6724138,0.5862069,0.4655172,0.362069,0.3103448,0.2758621,0.2241379,0.1896552,0.1034483,0.06896552,0
107,0.25,0.25,1,0.9310345,0.8793103,0.8448276,0.8275862,0.7931034,0.7413793,0.6896552,0.5862069,0.5,0.4827586,0.4310345,0.0862069,0.05172414,0
108,0.25,0.25,1,0.9137931,0.6724138,0.6034483,0.5517241,0.5344828,0.3793103,0.3448276,0.3103448,0.2586207,0.1896552,0.1724138,0.1206897,0.06896552,0
109,0.25,0.25,1,0.9482759,0.9310345,0.8965517,0.8448276,0.7586207,0.7068966,0.6896552,0.6206897,0.5344828,0.5,0.4137931,0.3965517,0.3275862,0
110,0.25,0.25,1,0.9482759,0.9137931,0.862069,0.7758621,0.7241379,0.6724138,0.5689655,0.4137931,0.362069,0.2931034,0.2241379,0.1724138,0.03448276,0
111,0.25,0.25,1,0.9310345,0.8793103,0.8448276,0.7241379,0.6896552,0.6551724,0.637931,0.6206897,0.5689655,0.5517241,0.2758621,0.1206897,0.05172414,0
112,0.25,0.25,1,0.9655172,0.9310345,0.9137931,0.7931034,0.7413793,0.6896552,0.5517241,0.5344828,0.5,0.4827586,0.1551724,0.1034483,0.05172414,0
113,0.25,0.25,1,0.9655172,0.8965517,0.7758621,0.7068966,0.6896552,0.637931,0.4310345,0.3965517,0.3275862,0.1896552,0.1551724,0.1034483,0.05172414,0
114,0.25,0.25,1,0.9310345,0.862069,0.8103448,0.7413793,0.7068966,0.637931,0.6206897,0.5689655,0.5,0.4310345,0.3793103,0.1206897,0.0862069,0
115,0.25,0.25,1,0.9137931,0.8448276,0.8103448,0.7413793,0.5172414,0.4655172,0.3448276,0.2931034,0.2586207,0.1896552,0.137931,0.0862069,0.01724138,0
116,0.25,0.25,1,0.9137931,0.8965517,0.8448276,0.7413793,0.6896552,0.6551724,0.637931,0.5517241,0.2758621,0.2068966,0.1551724,0.0862069,0.05172414,0
117,0.25,0.25,1,0.9310345,0.862069,0.7758621,0.7586207,0.7241379,0.6896552,0.6206897,0.5344828,0.5172414,0.4655172,0.2241379,0.0862069,0.05172414,0
118,0.25,0.25,1,0.9827586,0.9482759,0.9310345,0.8793103,0.8103448,0.7068966,0.637931,0.5862069,0.3275862,0.2758621,0.2241379,0.1551724,0.03448276,0
119,0.25,0.25,1,0.9655172,0.9310345,0.862069,0.8103448,0.7586207,0.7413793,0.6724138,0.6034483,0.5,0.4655172,0.4482759,0.2068966,0.0862069,0
120,0.25,0.25,1,0.9482759,0.8793103,0.8275862,0.7586207,0.5172414,0.4827586,0.4482759,0.3275862,0.2931034,0.2413793,0.2068966,0.1206897,0.03448276,0
121,0.25,0.25,1,0.9827586,0.9310345,0.8793103,0.8448276,0.8275862,0.7931034,0.5517241,0.362069,0.2586207,0.2068966,0.1551724,0.1206897,0.03448276,0
122,0.25,0.25,1,0.9655172,0.7586207,0.6896552,0.5517241,0.5,0.4827586,0.4655172,0.362069,0.2413793,0.1551724,0.1206897,0.06896552,0.01724138,0
123,0.25,0.25,1,0.9655172,0.7586207,0.7068966,0.6206897,0.5517241,0.5344828,0.4482759,0.4137931,0.3793103,0.2241379,0.1896552,0.137931,0.05172414,0
124,0.25,0.25,1,0.9482759,0.8793103,0.8103448,0.7241379,0.6724138,0.637931,0.6206897,0.5689655,0.5172414,0.2931034,0.2241379,0.0862069,0.05172414,0
125,0.25,0.25,1,0.9310345,0.8448276,0.8103448,0.7758621,0.7413793,0.7241379,0.6724138,0.5862069,0.5344828,0.5,0.4482759,0.4310345,0.06896552,0
126,0.25,0.25,1,0.9137931,0.8793103,0.862069,0.8275862,0.6206897,0.5,0.4827586,0.4137931,0.3275862,0.2758621,0.2068966,0.0862069,0.05172414,0
127,0.25,0.25,1,0.9482759,0.9310345,0.862069,0.8275862,0.8103448,0.7758621,0.7413793,0.6034483,0.5344828,0.2758621,0.137931,0.0862069,0.03448276,0
128,0.25,0.25,1,0.9137931,0.8793103,0.8448276,0.7931034,0.7241379,0.6896552,0.6724138,0.5689655,0.5,0.2068966,0.137931,0.1034483,0.05172414,0
129,0.25,0.25,1,0.9482759,0.8965517,0.8103448,0.7758621,0.7413793,0.6034483,0.362069,0.3275862,0.2586207,0.2241379,0.1724138,0.1206897,0.05172414,0
130,0.25,0.25,1,0.9827586,0.9137931,0.8793103,0.8103448,0.7931034,0.7586207,0.5517241,0.3103448,0.2586207,0.2241379,0.1724138,0.1034483,0.05172414,0
131,0.25,0.25,1,0.9827586,0.9310345,0.6896552,0.637931,0.5517241,0.4827586,0.4482759,0.4310345,0.3793103,0.2758621,0.1724138,0.137931,0.0862069,0
132,0.25,0.25,1,0.8275862,0.7586207,0.7241379,0.6724138,0.6034483,0.5172414,0.4827586,0.3103448,0.2758621,0.1724138,0.1206897,0.0862069,0.05172414,0
133,0.25,0.25,1,0.9655172,0.9310345,0.862069,0.7758621,0.6551724,0.6206897,0.6034483,0.5517241,0.5344828,0.4655172,0.4137931,0.0862069,0.05172414,0
134,0.25,0.25,1,0.9655172,0.9310345,0.8103448,0.7586207,0.7068966,0.6206897,0.3793103,0.3275862,0.2931034,0.2241379,0.1551724,0.1034483,0.05172414,0
135,0.25,0.25,1,0.9655172,0.9482759,0.9310345,0.8965517,0.7413793,0.637931,0.6034483,0.5517241,0.3275862,0.2758621,0.2068966,0.1724138,0.1206897,0
136,0.25,0.25,1,0.9482759,0.8965517,0.862069,0.8275862,0.6206897,0.4482759,0.3965517,0.2931034,0.2413793,0.1896552,0.1206897,0.0862069,0.05172414,0
137,0.25,0.25,1,0.9137931,0.862069,0.8448276,0.637931,0.5344828,0.5172414,0.4827586,0.4310345,0.3275862,0.2586207,0.2068966,0.1034483,0.03448276,0
138,0.25,0.25,1,0.9310345,0.8965517,0.8448276,0.7758621,0.6896552,0.4655172,0.3793103,0.3275862,0.2758621,0.2241379,0.1724138,0.0862069,0.05172414,0
139,0.25,0.25,1,0.9655172,0.8793103,0.8275862,0.7586207,0.7413793,0.7068966,0.6551724,0.4310345,0.3793103,0.2068966,0.1206897,0.0862069,0.05172414,0
140,0.25,0.25,1,0.9137931,0.8965517,0.8275862,0.7758621,0.7413793,0.637931,0.4310345,0.3793103,0.2931034,0.2586207,0.1896552,0.06896552,0.01724138,0
141,0.25,0.25,1,0.9827586,0.9482759,0.862069,0.8275862,0.7413793,0.6896552,0.6206897,0.5689655,0.3103448,0.2413793,0.1896552,0.1551724,0.05172414,0
142,0.25,0.25,1,0.9482759,0.8965517,0.8793103,0.8103448,0.7758621,0.7586207,0.637931,0.5689655,0.3103448,0.1896552,0.137931,0.0862069,0.03448276,0
143,0.25,0.25,1,0.9310345,0.8448276,0.8275862,0.7758621,0.7586207,0.637931,0.6034483,0.5689655,0.4137931,0.362069,0.1551724,0.1206897,0.05172414,0
144,0.25,0.25,1,0.9310345,0.9137931,0.8965517,0.862069,0.8103448,0.7586207,0.5,0.3965517,0.2931034,0.2586207,0.2068966,0.0862069,0.05172414,0
145,0.25,0.25,1,0.9655172,0.8965517,0.7068966,0.6724138,0.5689655,0.5172414,0.4137931,0.2758621,0.2241379,0.1896552,0.137931,0.0862069,0.03448276,0
146,0.25,0.25,1,0.8448276,0.7758621,0.6896552,0.6551724,0.5862069,0.5,0.4655172,0.3275862,0.2586207,0.2068966,0.1724138,0.1206897,0.0862069,0
147,0.25,0.25,1,0.9655172,0.9482759,0.8965517,0.8793103,0.8448276,0.7931034,0.7241379,0.6206897,0.362069,0.3275862,0.2413793,0.1896552,0.0862069,0
148,0.25,0.25,1,0.9827586,0.9310345,0.8793103,0.8448276,0.8103448,0.7068966,0.5689655,0.5172414,0.2931034,0.2241379,0.1896552,0.1724138,0.1206897,0
149,0.25,0.25,1,0.9310345,0.8793103,0.8103448,0.7068966,0.6551724,0.637931,0.6034483,0.5344828,0.5,0.2413793,0.1896552,0.0862069,0.05172414,0
150,0.25,0.25,1,0.9655172,0.9310345,0.8965517,0.862069,0.8103448,0.7931034,0.7068966,0.6034483,0.5,0.2931034,0.2413793,0.2068966,0.1551724,0
151,0.25,0.25,1,0.9827586,0.9482759,0.9137931,0.862069,0.8448276,0.7586207,0.6206897,0.5689655,0.3103448,0.2413793,0.2068966,0.1724138,0.05172414,0
152,0.25,0.25,1,0.9827586,0.9137931,0.862069,0.8448276,0.8103448,0.7586207,0.7068966,0.6206897,0.3275862,0.2241379,0.137931,0.1034483,0.05172414,0
153,0.25,0.25,1,0.9655172,0.8965517,0.8103448,0.7931034,0.7586207,0.5,0.4482759,0.4137931,0.3965517,0.2413793,0.1724138,0.1206897,0.03448276,0
154,0.25,0.25,1,0.9655172,0.9137931,0.862069,0.8275862,0.7413793,0.7241379,0.637931,0.5172414,0.5,0.2758621,0.2241379,0.1724138,0.137931,0
155,0.25,0.25,1,0.9482759,0.9137931,0.8275862,0.7931034,0.6724138,0.637931,0.4310345,0.3793103,0.2931034,0.2413793,0.1724138,0.1206897,0.0862069,0
156,0.25,0.25,1,0.9482759,0.862069,0.7586207,0.7241379,0.6724138,0.6034483,0.5862069,0.5517241,0.5,0.2586207,0.2068966,0.137931,0.1034483,0
157,0.25,0.25,1,0.8275862,0.7586207,0.7241379,0.6551724,0.5172414,0.4655172,0.362069,0.3103448,0.2413793,0.1724138,0.1206897,0.06896552,0.03448276,0
158,0.25,0.25,1,0.9482759,0.9137931,0.862069,0.7758621,0.6896552,0.6551724,0.362069,0.3103448,0.2586207,0.1896552,0.137931,0.1034483,0.05172414,0
159,0.25,0.25,1,0.9655172,0.9482759,0.8965517,0.8448276,0.8103448,0.7068966,0.6551724,0.5689655,0.5517241,0.4655172,0.4482759,0.1206897,0.05172414,0
160,0.25,0.25,1,0.9827586,0.9310345,0.9137931,0.8793103,0.637931,0.5517241,0.5344828,0.4827586,0.3448276,0.1551724,0.137931,0.1034483,0.05172414,0
161,0.25,0.25,1,0.9310345,0.8793103,0.862069,0.8275862,0.7758621,0.7241379,0.6034483,0.5862069,0.2931034,0.2413793,0.1551724,0.1034483,0.03448276,0
162,0.25,0.25,1,0.9655172,0.9137931,0.862069,0.7758621,0.7586207,0.6551724,0.6034483,0.5517241,0.5344828,0.5,0.1724138,0.1206897,0.0862069,0
163,0.25,0.25,1,0.9827586,0.9137931,0.8793103,0.862069,0.6724138,0.5862069,0.5344828,0.4655172,0.3448276,0.2241379,0.1724138,0.0862069,0.03448276,0
164,0.25,0.25,1,0.9482759,0.8965517,0.8275862,0.7931034,0.7241379,0.6551724,0.6034483,0.5862069,0.5344828,0.362069,0.3103448,0.2758621,0.1034483,0
165,0.25,0.25,1,0.9655172,0.9137931,0.8448276,0.7931034,0.6034483,0.5689655,0.4655172,0.3448276,0.3103448,0.2586207,0.1896552,0.0862069,0.03448276,0
166,0.25,0.25,1,0.9655172,0.8965517,0.8448276,0.7586207,0.5172414,0.4827586,0.4137931,0.362069,0.2758621,0.2413793,0.1896552,0.137931,0.06896552,0
167,0.25,0.25,1,0.9655172,0.9137931,0.8793103,0.8275862,0.6551724,0.4655172,0.4482759,0.2931034,0.2758621,0.2586207,0.2068966,0.1206897,0.03448276,0
168,0.25,0.25,1,0.9655172,0.8793103,0.8275862,0.7931034,0.7068966,0.6724138,0.6551724,0.6034483,0.5862069,0.362069,0.1551724,0.1034483,0.03448276,0
169,0.25,0.25,1,0.9827586,0.9310345,0.8965517,0.8103448,0.7068966,0.6896552,0.6206897,0.5517241,0.2931034,0.2413793,0.1896552,0.137931,0.03448276,0
170,0.25,0.25,1,0.9655172,0.8965517,0.8448276,0.7241379,0.6896552,0.4482759,0.3965517,0.3448276,0.2931034,0.2413793,0.2068966,0.137931,0.06896552,0
171,0.25,0.25,1,0.9655172,0.8965517,0.8275862,0.7413793,0.5,0.3793103,0.3103448,0.2758621,0.2241379,0.1724138,0.137931,0.0862069,0.01724138,0
172,0.25,0.25,1,0.9655172,0.9482759,0.8793103,0.862069,0.8103448,0.7241379,0.6206897,0.5689655,0.5344828,0.5172414,0.4655172,0.1724138,0.06896552,0
173,0.25,0.25,1,0.9655172,0.8793103,0.7931034,0.7758621,0.7413793,0.7241379,0.5344828,0.3275862,0.2758621,0.2068966,0.1551724,0.1206897,0.06896552,0
174,0.25,0.25,1,0.9655172,0.9482759,0.8965517,0.8448276,0.7758621,0.7586207,0.637931,0.5862069,0.3965517,0.3448276,0.1724138,0.137931,0.05172414,0
175,0.25,0.25,1,0.9482759,0.9310345,0.8793103,0.7931034,0.5862069,0.3793103,0.3275862,0.2758621,0.2413793,0.1724138,0.137931,0.0862069,0.05172414,0
176,0.25,0.25,1,0.9137931,0.8965517,0.7758621,0.7413793,0.6896552,0.6551724,0.6034483,0.5517241,0.362069,0.2758621,0.1724138,0.1034483,0.05172414,0
177,0.25,0.25,1,0.9310345,0.862069,0.8448276,0.8275862,0.7931034,0.7241379,0.6896552,0.6724138,0.4827586,0.2586207,0.2068966,0.0862069,0.05172414,0
178,0.25,0.25,1,0.9827586,0.9310345,0.8793103,0.8275862,0.7586207,0.7241379,0.6896552,0.5689655,0.5344828,0.4482759,0.4310345,0.1896552,0.05172414,0
179,0.25,0.25,1,0.9482759,0.862069,0.7586207,0.7241379,0.6896552,0.637931,0.6206897,0.5689655,0.5,0.4827586,0.137931,0.1034483,0.05172414,0
180,0.25,0.25,1,0.9655172,0.9137931,0.8448276,0.7413793,0.6551724,0.637931,0.6206897,0.3448276,0.2931034,0.1551724,0.1206897,0.06896552,0.01724138,0
181,0.25,0.25,1,0.9655172,0.9137931,0.8275862,0.7758621,0.7586207,0.6724138,0.6206897,0.4310345,0.3965517,0.3275862,0.2758621,0.2068966,0.1551724,0
182,0.25,0.25,1,0.9655172,0.9310345,0.8793103,0.8103448,0.7758621,0.637931,0.6206897,0.4137931,0.3275862,0.2758621,0.2413793,0.2068966,0.06896552,0
183,0.25,0.25,1,0.9655172,0.7413793,0.7068966,0.6551724,0.5517241,0.4482759,0.4137931,0.3793103,0.2586207,0.1896552,0.137931,0.1034483,0.05172414,0
184,0.25,0.25,1,0.9482759,0.8965517,0.8793103,0.8103448,0.7586207,0.7241379,0.6896552,0.637931,0.5517241,0.2068966,0.1896552,0.0862069,0.03448276,0
185,0.25,0.25,1,0.9655172,0.9137931,0.8275862,0.7758621,0.7068966,0.6896552,0.6724138,0.4137931,0.2586207,0.1896552,0.137931,0.0862069,0.05172414,0
186,0.25,0.25,1,0.9482759,0.862069,0.8275862,0.8103448,0.6034483,0.4827586,0.3793103,0.2931034,0.2413793,0.2068966,0.1206897,0.0862069,0.03448276,0
187,0.25,0.25,1,0.9827586,0.9310345,0.862069,0.7586207,0.7413793,0.6896552,0.6551724,0.6034483,0.5,0.4655172,0.4482759,0.1206897,0.06896552,0
188,0.25,0.25,1,0.9655172,0.9137931,0.8793103,0.6034483,0.5862069,0.5,0.4137931,0.362069,0.1896552,0.137931,0.1034483,0.05172414,0.03448276,0
189,0.25,0.25,1,0.7758621,0.7068966,0.5862069,0.5172414,0.4310345,0.3793103,0.3448276,0.3103448,0.2586207,0.1724138,0.1206897,0.05172414,0.01724138,0
190,0.25,0.25,1,0.9310345,0.862069,0.8275862,0.8103448,0.7586207,0.5689655,0.4655172,0.362069,0.3103448,0.2758621,0.1896552,0.0862069,0.03448276,0
191,0.25,0.25,1,0.9827586,0.9482759,0.862069,0.8103448,0.7931034,0.7241379,0.6896552,0.5,0.4482759,0.4310345,0.4137931,0.362069,0.03448276,0
192,0.25,0.25,1,0.9655172,0.9482759,0.8793103,0.8275862,0.8103448,0.7413793,0.6551724,0.4482759,0.4137931,0.2758621,0.1206897,0.1034483,0.05172414,0
193,0.25,0.25,1,0.9655172,0.9310345,0.8965517,0.8793103,0.7413793,0.5344828,0.3793103,0.3275862,0.2586207,0.1896552,0.137931,0.0862069,0.05172414,0
194,0.25,0.25,1,0.9482759,0.9310345,0.8448276,0.7241379,0.6724138,0.6206897,0.5862069,0.5517241,0.2758621,0.2068966,0.1551724,0.1206897,0.06896552,0
195,0.25,0.25,1,0.9655172,0.8965517,0.8103448,0.7931034,0.7413793,0.7241379,0.7068966,0.6551724,0.6206897,0.5517241,0.3103448,0.0862069,0.05172414,0
196,0.25,0.25,1,0.9310345,0.9137931,0.862069,0.7931034,0.6034483,0.5689655,0.5172414,0.3793103,0.2931034,0.2241379,0.1896552,0.137931,0.05172414,0
197,0.25,0.25,1,0.9482759,0.862069,0.8103448,0.7758621,0.7413793,0.7241379,0.6724138,0.6206897,0.5172414,0.4310345,0.4137931,0.0862069,0.05172414,0
198,0.25,0.25,1,0.9137931,0.8965517,0.7413793,0.6896552,0.6551724,0.6206897,0.4655172,0.4310345,0.2931034,0.1896552,0.137931,0.1034483,0.05172414,0
199,0.25,0.25,1,0.9310345,0.8448276,0.8103448,0.7758621,0.7586207,0.637931,0.4310345,0.4137931,0.3275862,0.2931034,0.2241379,0.1034483,0.05172414,0
200,0.25,0.25,1,0.9655172,0.9310345,0.8793103,0.8103448,0.7931034,0.7758621,0.7241379,0.6034483,0.5862069,0.362069,0.137931,0.0862069,0.03448276,0
201,0.25,0.25,1,0.9655172,0.8965517,0.862069,0.7413793,0.5517241,0.5172414,0.3793103,0.3103448,0.2586207,0.2068966,0.137931,0.0862069,0.05172414,0
202,0.25,0.25,1,0.9482759,0.862069,0.8103448,0.7758621,0.7413793,0.6724138,0.5862069,0.5344828,0.5,0.4482759,0.3965517,0.3793103,0.1034483,0
203,0.25,0.25,1,0.9655172,0.9137931,0.862069,0.8448276,0.7586207,0.6896552,0.4655172,0.4482759,0.3965517,0.2241379,0.1551724,0.1034483,0.03448276,0
204,0.25,0.25,1,0.9655172,0.8793103,0.862069,0.8103448,0.7068966,0.6896552,0.6551724,0.6034483,0.2758621,0.2241379,0.1724138,0.137931,0.06896552,0
205,0.25,0.25,1,0.9310345,0.8965517,0.862069,0.7931034,0.7758621,0.7586207,0.6551724,0.6034483,0.362069,0.1896552,0.1724138,0.1206897,0.0862069,0
206,0.25,0.25,1,0.9827586,0.9310345,0.8793103,0.8448276,0.7413793,0.6551724,0.3965517,0.362069,0.3103448,0.2068966,0.1551724,0.1034483,0.03448276,0
207,0.25,0.25,1,0.7586207,0.7413793,0.6896552,0.6034483,0.5172414,0.4827586,0.4482759,0.4137931,0.2931034,0.2241379,0.1206897,0.0862069,0.05172414,0
208,0.25,0.25,1,0.9137931,0.862069,0.8275862,0.7413793,0.7068966,0.6896552,0.6206897,0.5689655,0.5517241,0.4827586,0.2241379,0.1724138,0.06896552,0
209,0.25,0.25,1,0.9482759,0.8793103,0.8448276,0.8275862,0.7586207,0.6724138,0.6551724,0.5689655,0.5172414,0.2931034,0.1724138,0.1206897,0.03448276,0
210,0.25,0.25,1,0.9827586,0.8965517,0.8448276,0.7931034,0.6724138,0.637931,0.5862069,0.5172414,0.5,0.2241379,0.1724138,0.1206897,0.0862069,0
211,0.25,0.25,1,0.9827586,0.9655172,0.9310345,0.7068966,0.6551724,0.5689655,0.5,0.4482759,0.3103448,0.2241379,0.1724138,0.0862069,0.03448276,0
212,0.25,0.25,1,0.9137931,0.8793103,0.8448276,0.7241379,0.5517241,0.3448276,0.3103448,0.2586207,0.2068966,0.1724138,0.1206897,0.1034483,0.03448276,0
213,0.25,0.25,1,0.9482759,0.8793103,0.862069,0.8275862,0.8103448,0.7413793,0.4655172,0.3448276,0.2586207,0.2068966,0.1551724,0.1034483,0.06896552,0
214,0.25,0.25,1,0.9655172,0.9137931,0.8965517,0.8448276,0.7758621,0.6551724,0.3965517,0.3103448,0.2758621,0.2241379,0.1724138,0.1206897,0.05172414,0
215,0.25,0.25,1,0.9655172,0.9482759,0.8965517,0.8448276,0.7931034,0.7758621,0.7068966,0.4482759,0.3275862,0.2068966,0.1551724,0.0862069,0.05172414,0
216,0.25,0.25,1,0.9482759,0.7586207,0.6724138,0.6034483,0.5,0.4655172,0.4310345,0.3965517,0.2586207,0.1724138,0.1206897,0.06896552,0.05172414,0
217,0.25,0.25,1,0.9310345,0.8965517,0.862069,0.8103448,0.7241379,0.6896552,0.4827586,0.3965517,0.362069,0.1724138,0.1206897,0.06896552,0.01724138,0
218,0.25,0.25,1,0.9655172,0.9137931,0.8275862,0.7758621,0.7068966,0.637931,0.4137931,0.362069,0.2241379,0.1896552,0.1551724,0.1034483,0.05172414,0
219,0.25,0.25,1,0.9482759,0.8965517,0.862069,0.8103448,0.7586207,0.5,0.4655172,0.4137931,0.3103448,0.1724138,0.137931,0.1034483,0.06896552,0
220,0.25,0.25,1,0.9310345,0.8965517,0.8793103,0.8275862,0.8103448,0.7241379,0.4482759,0.3103448,0.2586207,0.2068966,0.1206897,0.0862069,0.05172414,0
221,0.25,0.25,1,0.8275862,0.7241379,0.7068966,0.6551724,0.5689655,0.4655172,0.362069,0.3275862,0.2413793,0.2068966,0.1896552,0.137931,0.05172414,0
222,0.25,0.25,1,0.9655172,0.9482759,0.8965517,0.8103448,0.7758621,0.7068966,0.6896552,0.6206897,0.5862069,0.5172414,0.4655172,0.2068966,0.05172414,0
223,0.25,0.25,1,0.9655172,0.7758621,0.7068966,0.637931,0.5862069,0.5689655,0.4137931,0.362069,0.3103448,0.2241379,0.1724138,0.1206897,0.03448276,0
224,0.25,0.25,1,0.9482759,0.9137931,0.8275862,0.7931034,0.5862069,0.5172414,0.5,0.4482759,0.3965517,0.362069,0.2068966,0.0862069,0.03448276,0
225,0.25,0.25,1,0.9655172,0.8965517,0.862069,0.6896552,0.6034483,0.5172414,0.4655172,0.3448276,0.3103448,0.2586207,0.2413793,0.1724138,0.05172414,0
226,0.25,0.25,1,0.9482759,0.9310345,0.862069,0.7931034,0.7586207,0.6724138,0.4310345,0.3793103,0.362069,0.3275862,0.2068966,0.1551724,0.06896552,0
227,0.25,0.25,1,0.9655172,0.9310345,0.862069,0.8448276,0.7241379,0.7068966,0.637931,0.3448276,0.2931034,0.2241379,0.1896552,0.1034483,0.05172414,0
228,0.25,0.25,1,0.9482759,0.8965517,0.862069,0.7758621,0.7241379,0.6896552,0.6034483,0.5517241,0.3448276,0.2413793,0.1724138,0.1206897,0.03448276,0
229,0.25,0.25,1,0.9482759,0.9310345,0.8965517,0.8275862,0.7931034,0.7758621,0.5172414,0.3793103,0.3275862,0.2068966,0.1551724,0.137931,0.05172414,0
230,0.25,0.25,1,0.9482759,0.9310345,0.862069,0.6724138,0.5689655,0.5344828,0.5172414,0.3103448,0.2241379,0.1896552,0.137931,0.1034483,0.05172414,0
231,0.25,0.25,1,0.9655172,0.9310345,0.8448276,0.7931034,0.7758621,0.7413793,0.5862069,0.5689655,0.3103448,0.2241379,0.1724138,0.1206897,0.03448276,0
232,0.25,0.25,1,0.9310345,0.9137931,0.8793103,0.8448276,0.7586207,0.7413793,0.5862069,0.4655172,0.3965517,0.2758621,0.2241379,0.0862069,0.05172414,0
233,0.25,0.25,1,0.9310345,0.8965517,0.6724138,0.6034483,0.5344828,0.4655172,0.3793103,0.362069,0.3103448,0.2241379,0.137931,0.0862069,0.05172414,0
234,0.25,0.25,1,0.9310345,0.8793103,0.862069,0.8275862,0.7241379,0.6724138,0.6206897,0.6034483,0.362069,0.2931034,0.1551724,0.137931,0.1034483,0
235,0.25,0.25,1,0.9655172,0.9310345,0.8793103,0.8448276,0.7586207,0.7413793,0.637931,0.5862069,0.5344828,0.2758621,0.2068966,0.1551724,0.1206897,0
236,0.25,0.25,1,0.9827586,0.9482759,0.8793103,0.8448276,0.8275862,0.7413793,0.7068966,0.4655172,0.2586207,0.1896552,0.137931,0.0862069,0.03448276,0
237,0.25,0.25,1,0.9310345,0.8965517,0.862069,0.8103448,0.7586207,0.6551724,0.6034483,0.5862069,0.5517241,0.3103448,0.2241379,0.1724138,0.1206897,0
238,0.25,0.25,1,0.9482759,0.9137931,0.8275862,0.8103448,0.7586207,0.7413793,0.5862069,0.2931034,0.2241379,0.1551724,0.1206897,0.06896552,0.05172414,0
239,0.25,0.25,1,0.9827586,0.9482759,0.862069,0.8275862,0.7758621,0.6896552,0.6551724,0.6034483,0.5862069,0.5172414,0.2241379,0.1206897,0.05172414,0
240,0.25,0.25,1,0.9310345,0.8965517,0.862069,0.7758621,0.7586207,0.637931,0.5862069,0.5517241,0.2931034,0.2068966,0.137931,0.0862069,0.03448276,0
241,0.25,0.25,1,0.9310345,0.8793103,0.8448276,0.7931034,0.7758621,0.7586207,0.7241379,0.7068966,0.6034483,0.5517241,0.5,0.1551724,0.1034483,0
242,0.25,0.25,1,0.9310345,0.8965517,0.8448276,0.7758621,0.7413793,0.7241379,0.637931,0.5862069,0.3448276,0.2931034,0.1896552,0.137931,0.03448276,0
243,0.25,0.25,1,0.9310345,0.8448276,0.8275862,0.7931034,0.5862069,0.4482759,0.4137931,0.362069,0.3103448,0.2068966,0.1551724,0.0862069,0.05172414,0
244,0.25,0.25,1,0.9482759,0.9137931,0.862069,0.7931034,0.7241379,0.7068966,0.6896552,0.637931,0.6206897,0.5517241,0.5172414,0.4137931,0.03448276,0
245,0.25,0.25,1,0.9655172,0.8965517,0.8448276,0.8275862,0.7413793,0.637931,0.6034483,0.5689655,0.5,0.4482759,0.4310345,0.3965517,0.05172414,0
246,0.25,0.25,1,0.9827586,0.9655172,0.8793103,0.8275862,0.7586207,0.7241379,0.5172414,0.3448276,0.2931034,0.2413793,0.1896552,0.1206897,0.0862069,0
247,0.25,0.25,1,0.8275862,0.7758621,0.7413793,0.6551724,0.5344828,0.4655172,0.4310345,0.3275862,0.2758621,0.2241379,0.1724138,0.1206897,0.03448276,0
248,0.25,0.25,1,0.9482759,0.8793103,0.7758621,0.7413793,0.6724138,0.6551724,0.3965517,0.2931034,0.2586207,0.1896552,0.137931,0.0862069,0.03448276,0
249,0.25,0.25,1,0.9655172,0.9482759,0.862069,0.7586207,0.7241379,0.7068966,0.5,0.4655172,0.3793103,0.1896552,0.137931,0.06896552,0.05172414,0
250,0.25,0.25,1,0.9482759,0.8965517,0.862069,0.8448276,0.7931034,0.7241379,0.4482759,0.3793103,0.3103448,0.2586207,0.1724138,0.1206897,0.0862069,0
251,0.25,0.25,1,0.9310345,0.7241379,0.7068966,0.6724138,0.5689655,0.4655172,0.3793103,0.2758621,0.1896552,0.1724138,0.1206897,0.06896552,0.03448276,0
252,0.25,0.25,1,0.9310345,0.9137931,0.862069,0.7758621,0.7586207,0.7413793,0.637931,0.6034483,0.5344828,0.2758621,0.2241379,0.1551724,0.1206897,0
253,0.25,0.25,1,0.9655172,0.9137931,0.8448276,0.7586207,0.7241379,0.5862069,0.5517241,0.5,0.4655172,0.1724138,0.137931,0.0862069,0.03448276,0
254,0.25,0.25,1,0.9310345,0.8965517,0.8793103,0.8448276,0.8275862,0.7758621,0.6724138,0.5862069,0.5172414,0.5,0.4655172,0.4137931,0.05172414,0
255,0.25,0.25,1,0.9482759,0.9310345,0.8793103,0.8275862,0.7586207,0.7241379,0.6206897,0.6034483,0.5172414,0.4655172,0.3793103,0.06896552,0.03448276,0
